Brant Bjork,https://www.youtube.com/watch?v=7_Yha8FgK4U,,Brant Bjork
GReeNOX,https://www.youtube.com/watch?v=cpYiB2PLsFg&feature=youtu.be,,GReeNOX
,,,
Justice ,https://www.youtube.com/watch?v=LoZ8l40RpeE&feature=youtu.be,,Justice 
Melanie Martinez,https://www.youtube.com/watch?v=YjZNBGY0A38,,Melanie Martinez
,,,
Grinspoon,https://www.youtube.com/watch?v=GKmx12kIs-I,,Grinspoon
Ramshackle Glory,https://www.youtube.com/watch?v=pC3IrqUpm9U&feature=youtu.be,,Ramshackle Glory
,,,
L-Fresh the Lion,https://www.youtube.com/watch?v=2QHJRTPDMxs,,L-Fresh the Lion
Crywolf,https://www.youtube.com/watch?v=rN6GOxTy3b4&feature=youtu.be,,Crywolf
,,,
Jared & The Mill,https://www.youtube.com/watch?v=WKOJjGfNgLI&feature=youtu.be,,Jared & The Mill
Sabaton,https://www.youtube.com/watch?v=C7NSUFDHFgg,,Sabaton
,,,
The Gospel Whiskey Runners,https://www.youtube.com/watch?v=fYP1utJmEeo&feature=youtu.be,,The Gospel Whiskey Runners
Sifu Hotman,https://www.youtube.com/watch?v=5goBGXUVKkk&feature=youtu.be,,Sifu Hotman
,,,
The Heavy,https://www.youtube.com/watch?v=ctVg85F5lp4,,The Heavy
Drugstore,https://www.youtube.com/watch?v=ELmIqhsfo4M,,Drugstore
,,,
The Cruxshadows,https://www.youtube.com/watch?v=1XZb8hyCfaw,,The Cruxshadows
Delta Bombers,https://www.youtube.com/watch?v=HDclLr-GhdM,,Delta Bombers
,,,
2 Skinny J's,https://www.youtube.com/watch?v=tLt6mC66Las,,2 Skinny J's
The Interrupters,https://www.youtube.com/watch?v=Yq2jJLswL8I,,The Interrupters
,,,
Aviators,https://www.youtube.com/watch?v=DjbDbUYc440&feature=youtu.be,,Aviators
Beta Radio,https://www.youtube.com/watch?v=axhaXxXPUUE&feature=youtu.be,,Beta Radio
,,,
The Crane Wives,https://www.youtube.com/watch?v=5pJIMHKzpLM&feature=youtu.be,,The Crane Wives
David Wax Museum,https://www.youtube.com/watch?v=7hbLKC0eC5s,,David Wax Museum
,,,
Sol Heilo,https://www.youtube.com/watch?v=UU_qhkwb4GY&feature=youtu.be,,Sol Heilo
American Babies,https://www.youtube.com/watch?v=nqvGNCFc44M,,American Babies
,,,
Secular Ghost,https://www.youtube.com/watch?v=Qu6Qsb6lb20&feature=youtu.be,,Secular Ghost
Cockamamie Jamie,https://www.youtube.com/watch?v=zuL9Dcz7Krk,,Cockamamie Jamie
,,,
Andrew Combs,https://www.youtube.com/watch?v=08JB_gOJsx8,,Andrew Combs
Au4,https://www.youtube.com/watch?v=y8Xb-QePJGc&feature=youtu.be,,Au4
,,,
Boesgaard,https://www.youtube.com/watch?v=BXc0J25cR_0&feature=youtu.be,,Boesgaard
Sylvan Esso,https://www.youtube.com/watch?v=h-_NNIX8cDA,,Sylvan Esso
,,,
Dink,https://www.youtube.com/watch?v=UhyFaXgTHIA,,Dink
Just a Gent,https://www.youtube.com/watch?v=Bm75naXfOjQ,"<iframe width=""727"" height=""409"" src=""https://www.youtube.com/embed/Bm75naXfOjQ"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Just a Gent
,,,
